Cellname	Cellcycle
GasdE701227	Late-S/G2
GasdE701228	Late-S/G2
GasdE701229	Early-S
GasdE701230	Mid-S
GasdE701231	Late-S/G2
GasdE701232	Early-S
GasdE701233	G1
GasdE701234	G1
GasdE701235	Late-S/G2
GasdE701236	Late-S/G2
GasdE701237	Late-S/G2
GasdE701238	Late-S/G2
GasdE701239	Mid-S
GasdE701240	Late-S/G2
GasdE701242	Late-S/G2
GasdE701243	Early-S
GasdE701244	Late-S/G2
GasdE701245	Late-S/G2
GasdE701246	G1
GasdE701248	G1
GasdE701249	Mid-S
GasdE701250	Late-S/G2
GasdE701251	Mid-S
GasdE701252	Late-S/G2
GasdE701253	Late-S/G2
GasdE701254	Mid-S
GasdE701255	Late-S/G2
GasdE701256	Late-S/G2
GasdE701258	Mid-S
GasdE701260	Mid-S
GasdE701261	Mid-S
GasdE701262	G1
GasdE701263	Mid-S
GasdE701265	Early-S
GasdE701266	Late-S/G2
GasdE701267	Mid-S
GasdE701268	G1
GasdE701269	Mid-S
GasdE701270	Late-S/G2
GasdE701271	Early-S
GasdE701272	Late-S/G2
GasdE701273	Late-S/G2
GasdE701274	Late-S/G2
GasdE701275	G1
GasdE701276	Late-S/G2
GasdE701277	Late-S/G2
GasdE701278	Late-S/G2
GasdE701279	Mid-S
GasdE701280	G1
GasdE701281	Late-S/G2
GasdE701282	Late-S/G2
GasdE701283	Late-S/G2
GasdE701284	Late-S/G2
GasdE701285	Early-S
GasdE701286	Mid-S
GasdE701287	Mid-S
GasdE701288	Mid-S
GasdE701289	Early-S
GasdE701290	Early-S
GasdE701291	G1
GasdE701292	Mid-S
GasdE701293	G1
GasdE701294	Late-S/G2
GasdE701295	Late-S/G2
GasdE701296	Late-S/G2
GasdE701297	Mid-S
GasdE701298	G1
GasdE701299	G1
GasdE701300	Late-S/G2
GasdE701301	Late-S/G2
GasdE701302	Late-S/G2
GasdE701303	G1
GasdE701304	Late-S/G2
GasdE701305	G1
GasdE701306	Early-S
GasdE701307	Late-S/G2
GasdE701308	Early-S
GasdE701309	Late-S/G2
GasdE701311	Early-S
GasdE701312	Late-S/G2
GasdE701313	G1
GasdE701314	Late-S/G2
GasdE701315	Late-S/G2
GasdE701316	Mid-S
GasdE701317	Mid-S
GasdE701318	Late-S/G2
GasdE701319	Mid-S
GasdE701320	G1
GasdE701321	Late-S/G2
GasdE701322	Mid-S
GasdE701323	G1
GasdE701324	Mid-S
GasdE701325	Mid-S
GasdE701326	Mid-S
GasdE701327	Mid-S
GasdE701328	Mid-S
GasdE701329	G1
GasdE701330	Mid-S
GasdE701331	G1
GasdE701332	Late-S/G2
GasdE701333	Late-S/G2
GasdE701334	Mid-S
GasdE701335	Mid-S
GasdE701336	G1
GasdE701337	Late-S/G2
GasdE701338	Late-S/G2
GasdE701339	Mid-S
GasdE701340	Mid-S
GasdE701341	Late-S/G2
GasdE701342	Mid-S
GasdE701343	Late-S/G2
GasdE701344	Late-S/G2
GasdE701345	Late-S/G2
GasdE701346	Mid-S
GasdE701347	G1
GasdE701348	Mid-S
GasdE701349	Late-S/G2
GasdE701350	Mid-S
GasdE701351	Late-S/G2
GasdE701353	G1
GasdE701354	Mid-S
GasdE701355	G1
GasdE701356	Late-S/G2
GasdE701357	Early-S
GasdE701358	G1
GasdE701359	Late-S/G2
GasdE701360	Mid-S
GasdE701361	Mid-S
GasdE701362	G1
GasdE701363	Early-S
GasdE701364	Mid-S
GasdE701365	G1
GasdE701366	Late-S/G2
GasdE701367	Late-S/G2
GasdE701368	Mid-S
GasdE701369	Mid-S
GasdE701370	Late-S/G2
GasdE701371	Late-S/G2
GasdE701372	Mid-S
GasdE701373	Early-S
GasdE701374	G1
GasdE701375	Late-S/G2
GasdE701376	Mid-S
GasdE701377	Mid-S
GasdE701378	G1
GasdE701379	Late-S/G2
GasdE701380	Late-S/G2
GasdE701381	Late-S/G2
GasdE701382	Mid-S
GasdE701383	Late-S/G2
GasdE701384	Late-S/G2
GaseE751001	Late-S/G2
GaseE751002	Late-S/G2
GaseE751003	Early-S
GaseE751004	Late-S/G2
GaseE751005	Late-S/G2
GaseE751006	G1
GaseE751007	Late-S/G2
GaseE751008	Mid-S
GaseE751009	Mid-S
GaseE751010	Late-S/G2
GaseE751011	Early-S
GaseE751012	Late-S/G2
GaseE751013	Mid-S
GaseE751014	Late-S/G2
GaseE751015	Late-S/G2
GaseE751016	Mid-S
GaseE751017	Mid-S
GaseE751018	Late-S/G2
GaseE751019	G1
GaseE751020	Early-S
GaseE751022	Late-S/G2
GaseE751023	Early-S
GaseE751024	Mid-S
GaseE751025	Late-S/G2
GaseE751026	G1
GaseE751027	Late-S/G2
GaseE751028	Mid-S
GaseE751030	Late-S/G2
GaseE751031	G1
GaseE751032	Late-S/G2
GaseE751033	Mid-S
GaseE751034	G1
GaseE751035	Early-S
GaseE751037	G1
GaseE751038	Late-S/G2
GaseE751039	Late-S/G2
GaseE751040	G1
GaseE751041	Late-S/G2
GaseE751042	Late-S/G2
GaseE751043	G1
GaseE751044	Mid-S
GaseE751045	Mid-S
GaseE751046	Late-S/G2
GaseE751047	Late-S/G2
GaseE751048	Mid-S
GaseE751049	Late-S/G2
GaseE751050	G1
GaseE751051	Mid-S
GaseE751052	Late-S/G2
GaseE751054	Late-S/G2
GaseE751055	Early-S
GaseE751056	Mid-S
GaseE751057	Late-S/G2
GaseE751058	Late-S/G2
GaseE751059	G1
GaseE751060	Early-S
GaseE751061	Mid-S
GaseE751062	Early-S
GaseE751063	Late-S/G2
GaseE751064	G1
GaseE751065	Mid-S
GaseE751066	Mid-S
GaseE751067	Late-S/G2
GaseE751068	Early-S
GaseE751069	Late-S/G2
GaseE751070	Mid-S
GaseE751071	G1
GaseE751072	Mid-S
GaseE751074	Mid-S
GaseE751075	Late-S/G2
GaseE751076	Late-S/G2
GaseE751077	G1
GaseE751078	G1
GaseE751079	G1
GaseE751080	Early-S
GaseE751081	Late-S/G2
GaseE751082	Mid-S
GaseE751083	Mid-S
GaseE751084	Early-S
GaseE751085	Late-S/G2
GaseE751086	Late-S/G2
GaseE751087	Mid-S
GaseE751088	Late-S/G2
GaseE751089	Late-S/G2
GaseE751090	Mid-S
GaseE751091	G1
GaseE751092	G1
GaseE751093	Late-S/G2
GaseE751094	G1
GaseE751095	Late-S/G2
GaseE751097	Late-S/G2
GaseE751098	G1
GaseE751099	Late-S/G2
GaseE751100	G1
GaseE751101	Late-S/G2
GaseE751103	Late-S/G2
GaseE751104	Mid-S
GaseE751105	Mid-S
GaseE751106	Late-S/G2
GaseE751107	Mid-S
GaseE751108	Late-S/G2
GaseE751109	Early-S
GaseE751110	Late-S/G2
GaseE751111	Early-S
GaseE751112	Mid-S
GaseE751113	Mid-S
GaseE751114	Mid-S
GaseE751115	Mid-S
GaseE751116	Late-S/G2
GaseE751117	G1
GaseE751118	G1
GaseE751119	Late-S/G2
GaseE751120	Late-S/G2
GaseE751121	Late-S/G2
GaseE751122	G1
GaseE751123	Early-S
GaseE751124	Mid-S
GaseE751125	Late-S/G2
GaseE751126	Mid-S
GaseE751127	Early-S
GaseE751128	Mid-S
GaseE751129	G1
GaseE751130	Mid-S
GaseE751131	G1
GaseE751132	Early-S
GaseE751133	Late-S/G2
GaseE751134	Late-S/G2
GaseE751135	Mid-S
GaseE751137	Early-S
GaseE751138	Early-S
GaseE751139	Late-S/G2
GaseE751140	G1
GaseE751141	G1
GaseE751142	Mid-S
GaseE751143	Late-S/G2
GaseE751144	G1
GaseE751145	G1
GaseE751146	Mid-S
GaseE751147	G1
GaseE751148	Early-S
GaseE751149	Late-S/G2
GaseE751150	G1
GaseE751151	Late-S/G2
GaseE751152	Mid-S
GaseE751153	Mid-S
GaseE751154	Mid-S
GaseE751155	Late-S/G2
GaseE751156	Mid-S
GaseE751157	Late-S/G2
GaseE751158	Late-S/G2
GaseE751159	G1
GaseE751160	Early-S
GaseE751161	G1
GaseE751162	G1
GaseE751164	Late-S/G2
GaseE751165	Late-S/G2
GaseE751166	Mid-S
GaseE751167	G1
GaseE751168	Mid-S
GaseE751169	Late-S/G2
GaseE751170	Late-S/G2
GaseE751172	Late-S/G2
GaseE751173	G1
GaseE751174	G1
GaseE751175	Late-S/G2
GaseE751176	Late-S/G2
GaseE751177	Mid-S
GaseE751178	Early-S
GaseE751179	Mid-S
GaseE751180	Mid-S
GaseE751181	Late-S/G2
GaseE751182	G1
GaseE751183	Early-S
GaseE751184	Late-S/G2
GaseE751185	Early-S
GaseE751186	Mid-S
GaseE751187	Early-S
GaseE751188	Late-S/G2
GaseE751189	Mid-S
GaseE751190	Late-S/G2
GaseE751191	Mid-S
GaseE751192	Late-S/G2
GaseE751194	Mid-S
GaseE751196	G1
GaseE751197	Mid-S
GaseE751198	Late-S/G2
GaseE751199	Mid-S
GaseE751200	Early-S
GaseE751201	Early-S
GaseE751202	G1
GaseE751203	Mid-S
GaseE751204	Late-S/G2
GaseE751205	Late-S/G2
GaseE751206	Late-S/G2
GaseE751207	Late-S/G2
GaseE751208	G1
GaseE751210	Late-S/G2
GaseE751211	Mid-S
GaseE751212	Late-S/G2
GaseE751213	Early-S
GaseE751214	Mid-S
GaseE751215	Early-S
GaseE751216	Late-S/G2
GaseE751218	Late-S/G2
GaseE751219	Early-S
GaseE751220	Late-S/G2
GaseE751221	Early-S
GaseE751222	Late-S/G2
GaseE751224	Late-S/G2
GaseE751225	Mid-S
GaseE751226	G1
GaseE751227	G1
GaseE751228	Early-S
GaseE751229	Late-S/G2
GaseE751230	Late-S/G2
GaseE751231	Mid-S
GaseE751232	G1
GaseE751233	Mid-S
GaseE751234	Early-S
GaseE751235	Late-S/G2
GaseE751236	G1
GaseE751237	Mid-S
GaseE751238	G1
GaseE751239	Mid-S
GaseE751240	Late-S/G2
GaseE751242	Mid-S
GaseE751243	Late-S/G2
GaseE751245	Late-S/G2
GaseE751246	Mid-S
GaseE751247	Late-S/G2
GaseE751248	Mid-S
GaseE751249	Mid-S
GaseE751250	Late-S/G2
GaseE751251	Mid-S
GaseE751252	Early-S
GaseE751253	G1
GaseE751254	Early-S
GaseE751255	Late-S/G2
GaseE751256	Early-S
GaseE751258	Early-S
GaseE751259	Mid-S
GaseE751260	Late-S/G2
GaseE751261	Mid-S
GaseE751262	Late-S/G2
GaseE751263	Mid-S
GaseE751264	Early-S
GaseE751265	Mid-S
GaseE751266	Mid-S
GaseE751267	Early-S
GaseE751268	Mid-S
GaseE751269	Late-S/G2
GaseE751270	Late-S/G2
GaseE751271	Late-S/G2
GaseE751272	Late-S/G2
GaseE751273	Late-S/G2
GaseE751274	Mid-S
GaseE751275	G1
GaseE751276	Mid-S
GaseE751277	Mid-S
GaseE751278	Late-S/G2
GaseE751279	Mid-S
GaseE751280	Mid-S
GaseE751281	Early-S
GaseE751283	Early-S
GaseE751284	Early-S
GaseE751287	G1
GaseE751288	G1
GaseE751289	Late-S/G2
GaseE751290	G1
GaseE751291	Late-S/G2
GaseE751292	Late-S/G2
GaseE751293	Mid-S
GaseE751294	G1
GaseE751295	Late-S/G2
GaseE751296	Mid-S
GaseE751297	G1
GaseE751298	Mid-S
GaseE751299	Late-S/G2
GaseE751301	Late-S/G2
GaseE751302	Mid-S
GaseE751303	Mid-S
GaseE751305	Mid-S
GaseE751306	G1
GaseE751307	G1
GaseE751308	G1
GaseE751309	Mid-S
GaseE751310	Early-S
GaseE751311	Mid-S
GaseE751312	Late-S/G2
GaseE751313	Late-S/G2
GaseE751314	Mid-S
GaseE751315	Late-S/G2
GaseE751316	Early-S
GaseE751317	Late-S/G2
GaseE751318	Late-S/G2
GaseE751319	Late-S/G2
GaseE751320	Mid-S
GaseE751321	Mid-S
GaseE751322	Late-S/G2
GaseE751323	Late-S/G2
GaseE751324	Mid-S
GaseE751325	Mid-S
GaseE751326	Late-S/G2
GaseE751327	Early-S
GaseE751329	Late-S/G2
GaseE751330	Mid-S
GaseE751331	G1
GaseE751332	Early-S
GaseE751333	Mid-S
GaseE751334	Early-S
GaseE751335	Late-S/G2
GaseE751336	Early-S
GaseE751337	Mid-S
GaseE751338	Late-S/G2
GaseE751340	Late-S/G2
GaseE751341	G1
GaseE751342	G1
GaseE751343	Mid-S
GaseE751344	G1
GaseE751345	Mid-S
GaseE751346	Late-S/G2
GaseE751347	Late-S/G2
GaseE751348	Early-S
GaseE751349	G1
GaseE751350	Mid-S
GaseE751351	Mid-S
GaseE751352	G1
GaseE751353	Late-S/G2
GaseE751354	Early-S
GaseE751355	Mid-S
GaseE751357	G1
GaseE751358	G1
GaseE751359	Mid-S
GaseE751360	G1
GaseE751361	Late-S/G2
GaseE751362	Late-S/G2
GaseE751363	Early-S
GaseE751365	G1
GaseE751366	Mid-S
GaseE751367	Mid-S
GaseE751368	Late-S/G2
GaseE751369	Early-S
GaseE751370	Mid-S
GaseE751371	Mid-S
GaseE751372	Early-S
GaseE751373	Mid-S
GaseE751374	Mid-S
GaseE751375	Mid-S
GaseE751376	Mid-S
GaseE751377	Mid-S
GaseE751379	G1
GaseE751381	Mid-S
GaseE751382	Mid-S
GaseE751383	G1
GaseE751384	Mid-S
GaseE752002	G1
GaseE752003	Mid-S
GaseE752004	Mid-S
GaseE752005	G1
GaseE752006	Late-S/G2
GaseE752009	Mid-S
GaseE752010	Early-S
GaseE752011	Mid-S
GaseE752012	Mid-S
GaseE752013	G1
GaseE752014	Mid-S
GaseE752015	Early-S
GaseE752017	G1
GaseE752018	G1
GaseE752019	Late-S/G2
GaseE752020	Mid-S
GaseE752021	Early-S
GaseE752025	G1
GaseE752026	Early-S
GaseE752027	Late-S/G2
GaseE752028	Mid-S
GaseE752029	G1
GaseE752030	Mid-S
GaseE752031	Late-S/G2
GaseE752033	Mid-S
GaseE752034	Early-S
GaseE752035	G1
GaseE752036	Mid-S
GaseE752037	Late-S/G2
GaseE752038	G1
GaseE752039	Mid-S
GaseE752040	Mid-S
GaseE752042	Mid-S
GaseE752045	Late-S/G2
GaseE752046	Late-S/G2
GaseE752047	Late-S/G2
GaseE752049	Early-S
GaseE752050	Mid-S
GaseE752051	Late-S/G2
GaseE752052	Early-S
GaseE752053	Mid-S
GaseE752054	Mid-S
GaseE752055	Mid-S
GaseE752056	Late-S/G2
GaseE752057	Mid-S
GaseE752058	Mid-S
GaseE752059	Late-S/G2
GaseE752060	Mid-S
GaseE752061	Mid-S
GaseE752064	Late-S/G2
GaseE752066	Late-S/G2
GaseE752067	Mid-S
GaseE752068	Mid-S
GaseE752069	Mid-S
GaseE752070	G1
GaseE752071	Late-S/G2
GaseE752072	Late-S/G2
GaseE752073	G1
GaseE752074	Late-S/G2
GaseE752075	Mid-S
GaseE752076	Mid-S
GaseE752077	Mid-S
GaseE752078	Mid-S
GaseE752082	Mid-S
GaseE752083	Late-S/G2
GaseE752084	Mid-S
GaseE752085	Late-S/G2
GaseE752087	Mid-S
GaseE752088	Mid-S
GaseE752090	Mid-S
GaseE752091	G1
GaseE752092	Late-S/G2
GaseE752093	G1
GaseE752094	Mid-S
GaseE752097	Early-S
GaseE752098	Late-S/G2
GaseE752099	Late-S/G2
GaseE752100	Late-S/G2
GaseE752101	G1
GaseE752102	Mid-S
GaseE752103	Late-S/G2
GaseE752104	Early-S
GaseE752105	Mid-S
GaseE752106	Late-S/G2
GaseE752107	Late-S/G2
GaseE752108	Late-S/G2
GaseE752110	G1
GaseE752111	Late-S/G2
GaseE752112	Mid-S
GaseE752113	Mid-S
GaseE752114	Mid-S
GaseE752115	Mid-S
GaseE752117	Mid-S
GaseE752118	Late-S/G2
GaseE752119	Early-S
GaseE752120	Late-S/G2
GaseE752121	Late-S/G2
GaseE752122	G1
GaseE752123	Late-S/G2
GaseE752124	Mid-S
GaseE752125	Late-S/G2
GaseE752126	Mid-S
GaseE752127	Mid-S
GaseE752128	Early-S
GaseE752129	Late-S/G2
GaseE752130	G1
GaseE752131	Late-S/G2
GaseE752132	Late-S/G2
GaseE752134	G1
GaseE752135	Mid-S
GaseE752136	Mid-S
GaseE752137	Early-S
GaseE752138	G1
GaseE752140	Mid-S
GaseE752141	G1
GaseE752142	Early-S
GaseE752143	Late-S/G2
GaseE752144	Mid-S
GaseE752145	G1
GaseE752146	Late-S/G2
GaseE752147	Late-S/G2
GaseE752148	Early-S
GaseE752149	Mid-S
GaseE752150	Mid-S
GaseE752151	Late-S/G2
GaseE752152	Mid-S
GaseE752153	Late-S/G2
GaseE752154	Mid-S
GaseE752155	Late-S/G2
GaseE752156	Early-S
GaseE752157	Late-S/G2
GaseE752158	Late-S/G2
GaseE752159	Late-S/G2
GaseE752160	Mid-S
GaseE752161	Early-S
GaseE752162	Mid-S
GaseE752163	Mid-S
GaseE752164	Mid-S
GaseE752165	Mid-S
GaseE752166	Mid-S
GaseE752167	Late-S/G2
GaseE752168	Mid-S
GaseE752169	Mid-S
GaseE752170	Mid-S
GaseE752171	Late-S/G2
GaseE752172	Late-S/G2
GaseE752173	Late-S/G2
GaseE752174	Late-S/G2
GaseE752175	G1
GaseE752176	Early-S
GaseE752177	Mid-S
GaseE752178	Mid-S
GaseE752179	Early-S
GaseE752180	Late-S/G2
GaseE752181	Late-S/G2
GaseE752182	Mid-S
GaseE752183	Mid-S
GaseE752184	Mid-S
GaseE752185	Mid-S
GaseE752186	G1
GaseE752187	Mid-S
GaseE752188	Late-S/G2
GaseE752189	Mid-S
GaseE752190	Mid-S
GaseE752191	Late-S/G2
GaseE752192	Early-S
GaseE752193	Mid-S
GaseE752194	Mid-S
GaseE752195	G1
GaseE752196	Late-S/G2
GaseE752197	Mid-S
GaseE752198	Late-S/G2
GaseE752199	Mid-S
GaseE752200	Late-S/G2
GaseE752201	Early-S
GaseE752202	Late-S/G2
GaseE752203	Mid-S
GaseE752204	Early-S
GaseE752205	Late-S/G2
GaseE752206	Mid-S
GaseE752207	Mid-S
GaseE752208	Mid-S
GaseE752209	Early-S
GaseE752210	Late-S/G2
GaseE752211	Early-S
GaseE752212	Mid-S
GaseE752213	G1
GaseE752214	Late-S/G2
GaseE752215	Mid-S
GaseE752216	Late-S/G2
GaseE752217	Early-S
GaseE752218	Mid-S
GaseE752219	G1
GaseE752220	Late-S/G2
GaseE752221	Mid-S
GaseE752222	Mid-S
GaseE752223	Early-S
GaseE752224	Late-S/G2
GaseE752225	Early-S
GaseE752226	Mid-S
GaseE752227	Late-S/G2
GaseE752228	Mid-S
GaseE752229	Mid-S
GaseE752230	Early-S
GaseE752231	Late-S/G2
GaseE752232	Late-S/G2
GaseE752233	Mid-S
GaseE752234	Late-S/G2
GaseE752235	Late-S/G2
GaseE752236	Early-S
GaseE752237	Mid-S
GaseE752238	Mid-S
GaseE752239	Late-S/G2
GaseE752240	Mid-S
GaseE752242	Mid-S
GaseE752244	Early-S
GaseE752245	Late-S/G2
GaseE752246	Early-S
GaseE752247	Early-S
GaseE752248	Mid-S
GaseE752250	Late-S/G2
GaseE752251	Late-S/G2
GaseE752252	Mid-S
GaseE752253	Mid-S
GaseE752254	Mid-S
GaseE752255	Late-S/G2
GaseE752256	Mid-S
GaseE752258	Mid-S
GaseE752259	G1
GaseE752260	Mid-S
GaseE752261	Mid-S
GaseE752263	Mid-S
GaseE752264	Early-S
GaseE752266	Late-S/G2
GaseE752267	Mid-S
GaseE752268	Mid-S
GaseE752269	Early-S
GaseE752270	Late-S/G2
GaseE752271	Mid-S
GaseE752272	Late-S/G2
GaseE752273	G1
GaseE752274	Late-S/G2
GaseE752275	Mid-S
GaseE752276	Mid-S
GaseE752277	Mid-S
GaseE752278	Mid-S
GaseE752279	Late-S/G2
GaseE752280	Mid-S
GaseE752281	Mid-S
GaseE752282	G1
GaseE752283	Mid-S
GaseE752284	Early-S
GaseE752287	Late-S/G2
GaseE752288	G1
GaseE752289	Late-S/G2
GaseE752290	G1
GaseE752291	Mid-S
GaseE752292	Mid-S
GaseE752293	Late-S/G2
GaseE752294	Mid-S
GaseE752295	Mid-S
GaseE752296	Early-S
GaseE752297	Mid-S
GaseE752298	Late-S/G2
GaseE752299	Mid-S
GaseE752300	Late-S/G2
GaseE752301	Mid-S
GaseE752302	Mid-S
GaseE752303	Mid-S
GaseE752304	Early-S
GaseE752305	Mid-S
GaseE752306	Mid-S
GaseE752307	Late-S/G2
GaseE752308	Late-S/G2
GaseE752309	Late-S/G2
GaseE752310	Early-S
GaseE752311	Early-S
GaseE752312	Mid-S
GaseE752313	G1
GaseE752314	Late-S/G2
GaseE752315	Early-S
GaseE752316	Mid-S
GaseE752317	Mid-S
GaseE752318	Early-S
GaseE752319	Mid-S
GaseE752320	Late-S/G2
GaseE752321	Late-S/G2
GaseE752322	Mid-S
GaseE752323	Late-S/G2
GaseE752324	Mid-S
GaseE752325	Early-S
GaseE752326	Late-S/G2
GaseE752327	Early-S
GaseE752328	Early-S
GaseE752329	Late-S/G2
GaseE752330	Late-S/G2
GaseE752331	Early-S
GaseE752332	Late-S/G2
GaseE752333	Mid-S
GaseE752334	G1
GaseE752335	Late-S/G2
GaseE752336	Mid-S
GaseE752337	Late-S/G2
GaseE752338	Mid-S
GaseE752339	Mid-S
GaseE752340	Mid-S
GaseE752341	Mid-S
GaseE752342	Mid-S
GaseE752343	Mid-S
GaseE752344	Mid-S
GaseE752345	Late-S/G2
GaseE752346	Mid-S
GaseE752347	Late-S/G2
GaseE752348	Mid-S
GaseE752349	Late-S/G2
GaseE752350	Early-S
GaseE752351	Mid-S
GaseE752352	Early-S
GaseE752353	Late-S/G2
GaseE752354	Late-S/G2
GaseE752356	Mid-S
GaseE752357	Early-S
GaseE752358	Late-S/G2
GaseE752359	Mid-S
GaseE752360	Mid-S
GaseE752361	Mid-S
GaseE752362	Early-S
GaseE752363	Early-S
GaseE752364	Early-S
GaseE752365	Late-S/G2
GaseE752366	Mid-S
GaseE752367	Late-S/G2
GaseE752368	Late-S/G2
GaseE752369	G1
GaseE752370	Mid-S
GaseE752371	Mid-S
GaseE752372	Early-S
GaseE752373	Mid-S
GaseE752374	Mid-S
GaseE752375	Mid-S
GaseE752376	Mid-S
GaseE752377	Mid-S
GaseE752378	Mid-S
GaseE752379	Early-S
GaseE752380	Mid-S
GaseE752381	Early-S
GaseE752382	G1
GaseE752383	Mid-S
GaseE752384	Late-S/G2
GaseE753001	Mid-S
GaseE753003	G1
GaseE753004	Mid-S
GaseE753005	G1
GaseE753006	G1
GaseE753007	Mid-S
GaseE753008	G1
GaseE753009	Late-S/G2
GaseE753010	Early-S
GaseE753011	Late-S/G2
GaseE753012	Mid-S
GaseE753013	Late-S/G2
GaseE753014	Late-S/G2
GaseE753015	Late-S/G2
GaseE753016	Mid-S
GaseE753017	Late-S/G2
GaseE753018	Late-S/G2
GaseE753019	Mid-S
GaseE753020	Mid-S
GaseE753021	Mid-S
GaseE753022	Early-S
GaseE753023	G1
GaseE753024	Late-S/G2
GaseE753025	Late-S/G2
GaseE753026	Late-S/G2
GaseE753028	G1
GaseE753029	Late-S/G2
GaseE753030	Mid-S
GaseE753031	Late-S/G2
GaseE753032	Late-S/G2
GaseE753033	Late-S/G2
GaseE753034	Late-S/G2
GaseE753035	Mid-S
GaseE753036	Mid-S
GaseE753037	G1
GaseE753038	Late-S/G2
GaseE753039	Early-S
GaseE753040	Early-S
GaseE753041	Mid-S
GaseE753042	G1
GaseE753043	Mid-S
GaseE753045	Mid-S
GaseE753046	G1
GaseE753047	Late-S/G2
GaseE753048	Mid-S
GaseE753049	Mid-S
GaseE753050	Late-S/G2
GaseE753051	Mid-S
GaseE753052	Mid-S
GaseE753054	Mid-S
GaseE753055	G1
GaseE753056	Mid-S
GaseE753057	Mid-S
GaseE753058	Late-S/G2
GaseE753059	Late-S/G2
GaseE753061	Early-S
GaseE753062	Late-S/G2
GaseE753063	Mid-S
GaseE753064	Early-S
GaseE753065	G1
GaseE753066	G1
GaseE753067	G1
GaseE753068	Mid-S
GaseE753069	Mid-S
GaseE753070	Mid-S
GaseE753071	Late-S/G2
GaseE753072	G1
GaseE753073	Mid-S
GaseE753074	G1
GaseE753075	Late-S/G2
GaseE753076	Late-S/G2
GaseE753077	Late-S/G2
GaseE753078	Early-S
GaseE753079	Late-S/G2
GaseE753080	Late-S/G2
GaseE753081	G1
GaseE753082	Late-S/G2
GaseE753083	Mid-S
GaseE753084	Late-S/G2
GaseE753085	Early-S
GaseE753086	Late-S/G2
GaseE753087	Mid-S
GaseE753088	Early-S
GaseE753090	Mid-S
GaseE753091	Late-S/G2
GaseE753092	G1
GaseE753093	Late-S/G2
GaseE753094	Late-S/G2
GaseE753095	Late-S/G2
GaseE753096	Early-S
GaseE753097	Late-S/G2
GaseE753098	Mid-S
GaseE753099	Late-S/G2
GaseE753100	Late-S/G2
GaseE753101	Late-S/G2
GaseE753102	G1
GaseE753103	Late-S/G2
GaseE753104	Late-S/G2
GaseE753105	Mid-S
GaseE753106	Mid-S
GaseE753107	Late-S/G2
GaseE753108	Mid-S
GaseE753109	Late-S/G2
GaseE753110	Mid-S
GaseE753111	G1
GaseE753112	Late-S/G2
GaseE753113	Mid-S
GaseE753114	Late-S/G2
GaseE753115	Late-S/G2
GaseE753116	Late-S/G2
GaseE753117	Mid-S
GaseE753118	G1
GaseE753119	Late-S/G2
GaseE753120	Mid-S
GaseE753121	Late-S/G2
GaseE753122	Mid-S
GaseE753123	Late-S/G2
GaseE753124	Late-S/G2
GaseE753125	G1
GaseE753126	Mid-S
GaseE753127	G1
GaseE753128	G1
GaseE753129	Early-S
GaseE753130	Late-S/G2
GaseE753131	Late-S/G2
GaseE753132	G1
GaseE753133	G1
GaseE753134	Late-S/G2
GaseE753135	Late-S/G2
GaseE753136	Mid-S
GaseE753137	G1
GaseE753138	Mid-S
GaseE753139	Mid-S
GaseE753140	Mid-S
GaseE753141	Mid-S
GaseE753142	Mid-S
GaseE753143	Early-S
GaseE753144	Late-S/G2
GaseE753145	Late-S/G2
GaseE753147	Mid-S
GaseE753148	Mid-S
GaseE753149	Mid-S
GaseE753150	Late-S/G2
GaseE753151	G1
GaseE753152	G1
GaseE753153	Late-S/G2
GaseE753154	G1
GaseE753155	G1
GaseE753156	Mid-S
GaseE753157	Late-S/G2
GaseE753158	Mid-S
GaseE753159	Mid-S
GaseE753160	Mid-S
GaseE753161	Late-S/G2
GaseE753162	Mid-S
GaseE753163	Late-S/G2
GaseE753164	Late-S/G2
GaseE753165	Early-S
GaseE753166	Late-S/G2
GaseE753167	Mid-S
GaseE753168	Mid-S
GaseE753169	Late-S/G2
GaseE753170	G1
GaseE753171	Mid-S
GaseE753172	Mid-S
GaseE753173	Late-S/G2
GaseE753174	Mid-S
GaseE753175	Mid-S
GaseE753176	Early-S
GaseE753177	G1
GaseE753178	Early-S
GaseE753179	G1
GaseE753180	G1
GaseE753181	Late-S/G2
GaseE753182	Mid-S
GaseE753183	Early-S
GaseE753184	Early-S
GaseE753185	Late-S/G2
GaseE753186	Late-S/G2
GaseE753187	Mid-S
GaseE753188	Late-S/G2
GaseE753189	Early-S
GaseE753190	Late-S/G2
GaseE753191	Mid-S
GaseE753192	Mid-S
GaseE753194	Mid-S
GaseE753195	Early-S
GaseE753196	Late-S/G2
GaseE753197	Early-S
GaseE753198	Mid-S
GaseE753199	Mid-S
GaseE753200	Late-S/G2
GaseE753202	Early-S
GaseE753203	Late-S/G2
GaseE753204	Mid-S
GaseE753205	Mid-S
GaseE753206	Early-S
GaseE753207	Late-S/G2
GaseE753208	G1
GaseE753209	Mid-S
GaseE753210	Mid-S
GaseE753211	Mid-S
GaseE753212	Late-S/G2
GaseE753213	Mid-S
GaseE753214	G1
GaseE753215	G1
GaseE753216	Late-S/G2
GaseE753217	Late-S/G2
GaseE753218	Mid-S
GaseE753219	G1
GaseE753220	Late-S/G2
GaseE753221	Late-S/G2
GaseE753222	Late-S/G2
